"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct"
"5370002.01","2021S05075370002.01","0002.01",1.4845,"35",1,114882.0165,1148820165.94531,177180.874408725,62595.1895071652,1564091.80207878,4.00201506228549
"5370002.03","2021S05075370002.03","0002.03",0.7711,"35",1,114882.0165,1148820165.94531,177180.874408725,22012.4243691969,812481.10376347,2.70928447039984
"5370003.01","2021S05075370003.01","0003.01",1.2168,"35",1,114882.0165,1148820165.94531,177180.874408725,195193.06213919,1281790.77137978,15.2281531820575
"5370003.02","2021S05075370003.02","0003.02",0.8706,"35",1,114882.0165,1148820165.94531,177180.874408725,44692.9264720603,917218.00656134,4.87266125962949
"5370003.03","2021S05075370003.03","0003.03",0.734,"35",1,114882.0165,1148820165.94531,177180.874408725,67647.9626042233,773307.950930719,8.74786849440837
"5370003.04","2021S05075370003.04","0003.04",1.7428,"35",1,114882.0165,1148820165.94531,177180.874408725,118939.645170456,1836171.26473231,6.47758994244994
"5370004.01","2021S05075370004.01","0004.01",0.9803,"35",1,114882.0165,1148820165.94531,177180.874408725,29001.7688106675,1032825.68839132,2.80800227343679
"5370004.02","2021S05075370004.02","0004.02",1.0003,"35",1,114882.0165,1148820165.94531,177180.874408725,53664.187061348,1053900.85321405,5.09195783433423
"5370005.01","2021S05075370005.01","0005.01",1.8505,"35",1,114882.0165,1148820165.94531,177180.874408725,74235.021380527,1949749.67956838,3.807412928872
"5370005.02","2021S05075370005.02","0005.02",0.9478,"35",1,114882.0165,1148820165.94531,177180.874408725,120877.711328747,998653.993162837,12.1040632848135
"5370005.03","2021S05075370005.03","0005.03",0.9407,"35",1,114882.0165,1148820165.94531,177180.874408725,40909.4027690509,991203.356836548,4.12724618887635
"5370026.01","2021S05075370026.01","0026.01",0.9437,"35",1,114882.0165,1148820165.94531,177180.874408725,136790.129041957,998491.955151248,13.6996726249273
"5370026.02","2021S05075370026.02","0026.02",0.6197,"35",1,114882.0165,1148820165.94531,177180.874408725,72181.8659646796,652915.336828976,11.055317878616
"5370026.03","2021S05075370026.03","0026.03",0.9694,"35",1,114882.0165,1148820165.94531,177180.874408725,136886.299212083,1021452.083831,13.4011473840931
"5370026.04","2021S05075370026.04","0026.04",1.0022,"35",1,114882.0165,1148820165.94531,177180.874408725,203240.53975997,1059387.2252845,19.1847263124576
"5370026.05","2021S05075370026.05","0026.05",2.7311,"35",1,114882.0165,1148820165.94531,177180.874408725,1454133.53704776,2884932.11477153,50.4044282221497
"5370072.01","2021S05075370072.01","0072.01",4.6202,"35",1,114882.0165,1148820165.94531,177180.874408725,1313273.77892074,5003944.89756201,26.2447689933714
"5370072.02","2021S05075370072.02","0072.02",1.389,"35",1,114882.0165,1148820165.94531,177180.874408725,249779.36134471,1472499.95353743,16.9629452785148
"5370072.03","2021S05075370072.03","0072.03",0.7071,"35",1,114882.0165,1148820165.94531,177180.874408725,92975.6097131052,744908.851016499,12.4814746913305
"5370072.04","2021S05075370072.04","0072.04",0.9003,"35",1,114882.0165,1148820165.94531,177180.874408725,241261.250585225,948523.585122776,25.4354508806437
"5370080.01","2021S05075370080.01","0080.01",54.7913,"35",1,114882.0165,1148820165.94531,177180.874408725,493378.7512252,57929267.0983168,0.851691685288964
"5370084.01","2021S05075370084.01","0084.01",1.0027,"35",1,114882.0165,1148820165.94531,177180.874408725,49198.2234131032,1056435.42637687,4.6570024238805
"5370084.02","2021S05075370084.02","0084.02",0.9998,"35",1,114882.0165,1148820165.94531,177180.874408725,130034.90851098,1053467.17257979,12.3435178518704
"5370207.01","2021S05075370207.01","0207.01",5.2131,"35",1,114882.0165,1148820165.94531,177180.874408725,0,572.358897310122,0
"5370080.03","2021S05075370080.03","0080.03",4.798,"35",1,114882.0165,1148820165.94531,177180.874408725,499165.369702423,5073598.3615128,9.83848807365166
"5350626.00","2021S05075350626.00","0626.00",190.3368,"35",1,114882.0165,1148820165.94531,177180.874408725,0,1230.80191183187,0
"5370133.01","2021S05075370133.01","0133.01",4.0932,"35",1,114882.0165,1148820165.94531,177180.874408725,209171.556369399,4312212.06708245,4.85067879583483
"5370133.02","2021S05075370133.02","0133.02",2.378,"35",1,114882.0165,1148820165.94531,177180.874408725,179215.02135242,2504324.19634912,7.15622288894086
"5370001.04","2021S05075370001.04","0001.04",1.7029,"35",1,114882.0165,1148820165.94531,177180.874408725,170281.952687678,1794602.78548456,9.4885594776172
"5370001.05","2021S05075370001.05","0001.05",1.5511,"35",1,114882.0165,1148820165.94531,177180.874408725,56027.2045230991,1635202.03201282,3.42631695816409
"5370001.06","2021S05075370001.06","0001.06",1.4787,"35",1,114882.0165,1148820165.94531,177180.874408725,270451.622898088,1558203.34003329,17.3566322154277
"5370085.01","2021S05075370085.01","0085.01",2.5643,"35",1,114882.0165,1148820165.94531,177180.874408725,53112.1701186731,2702763.13296317,1.96510635619199
"5370085.02","2021S05075370085.02","0085.02",1.7346,"35",1,114882.0165,1148820165.94531,177180.874408725,163643.076822806,1827850.07573577,8.95276253753658
"5370085.03","2021S05075370085.03","0085.03",8.0152,"35",1,114882.0165,1148820165.94531,177180.874408725,60445.2414750685,8430362.2402185,0.716994593502803
"5370001.07","2021S05075370001.07","0001.07",0.7565,"35",1,114882.0165,1148820165.94531,177180.874408725,134859.428071658,797204.492479687,16.9165414073596
"5370084.03","2021S05075370084.03","0084.03",0.9603,"35",1,114882.0165,1148820165.94531,177180.874408725,122485.888823042,1011832.3106815,12.1053545661676
"5370084.04","2021S05075370084.04","0084.04",2.4649,"35",1,114882.0165,1148820165.94531,177180.874408725,17107.5911196408,2609465.68177178,0.655597474959897
"5370026.06","2021S05075370026.06","0026.06",1.168,"35",1,114882.0165,1148820165.94531,177180.874408725,315688.073771041,1230639.71580104,25.6523554146436
"5370002.04","2021S05075370002.04","0002.04",0.9836,"35",1,114882.0165,1148820165.94531,177180.874408725,64811.1517179898,1036313.51226207,6.25401009936845
"5370084.05","2021S05075370084.05","0084.05",0.9182,"35",1,114882.0165,1148820165.94531,177180.874408725,45297.8850492227,967347.459823162,4.68269023598857
"5370080.05","2021S05075370080.05","0080.05",3.4482,"35",1,114882.0165,1148820165.94531,177180.874408725,176524.569255451,3636453.85856138,4.85430521385155
"5370122.01","2021S05075370122.01","0122.01",2.8326,"35",1,114882.0165,1148820165.94531,177180.874408725,327783.219538842,2992081.48564469,10.9550231539973
"5370122.02","2021S05075370122.02","0122.02",5.9998,"35",1,114882.0165,1148820165.94531,177180.874408725,838174.291531758,6321780.11992253,13.2585169941347
"5370130.02","2021S05075370130.02","0130.02",2.6,"35",1,114882.0165,1148820165.94531,177180.874408725,91600.929533356,2738430.71411961,3.34501541561934
"5370130.03","2021S05075370130.03","0130.03",2.0863,"35",1,114882.0165,1148820165.94531,177180.874408725,202070.208690905,2197338.85623957,9.19613322802291
"5370142.01","2021S05075370142.01","0142.01",122.3678,"35",1,114882.0165,1148820165.94531,177180.874408725,55095.6725847784,129166645.701757,0.0426547211824274
"5370142.02","2021S05075370142.02","0142.02",137.7485,"35",1,114882.0165,1148820165.94531,177180.874408725,1898469.33536793,145929680.292898,1.30094805358134
"5410140.01","2021S05075410140.01","0140.01",174.0211,"35",1,114882.0165,1148820165.94531,177180.874408725,0,818636.584465178,0
"5370140.05","2021S05075370140.05","0140.05",5.0193,"35",1,114882.0165,1148820165.94531,177180.874408725,137209.830458652,5289528.97522671,2.59398958019266
"5370140.06","2021S05075370140.06","0140.06",1.8492,"35",1,114882.0165,1148820165.94531,177180.874408725,159264.966458094,1946248.62350648,8.18317683231817
"5370002.07","2021S05075370002.07","0002.07",1.3154,"35",1,114882.0165,1148820165.94531,177180.874408725,212507.717311809,1396548.57232095,15.2166363221179
"5370002.08","2021S05075370002.08","0002.08",0.6381,"35",1,114882.0165,1148820165.94531,177180.874408725,67397.1204241322,674394.340276541,9.99372568822204
"5370101.03","2021S05075370101.03","0101.03",6.2169,"35",1,114882.0165,1148820165.94531,177180.874408725,48887.1207984805,6572411.58039382,0.74382317967298
"5370101.04","2021S05075370101.04","0101.04",21.4588,"35",1,114882.0165,1148820165.94531,177180.874408725,88234.7892293581,22680371.4686486,0.389035908654875
"5370100.03","2021S05075370100.03","0100.03",11.1532,"35",1,114882.0165,1148820165.94531,177180.874408725,121006.756438227,11772296.0886009,1.02789426571931
"5370100.04","2021S05075370100.04","0100.04",22.0294,"35",1,114882.0165,1148820165.94531,177180.874408725,605254.441674141,23288987.0901375,2.59888693025407
"5370100.05","2021S05075370100.05","0100.05",6.0914,"35",1,114882.0165,1148820165.94531,177180.874408725,63367.9957876062,6431338.41538892,0.985300285800217
"5370100.06","2021S05075370100.06","0100.06",71.2297,"35",1,114882.0165,1148820165.94531,177180.874408725,30303.272626392,76580613.2838069,0.0395704230182754
"5370086.01","2021S05075370086.01","0086.01",8.146,"35",1,114882.0165,1148820165.94531,177180.874408725,107192.816042592,8579481.26000301,1.24940905859097
"5370086.02","2021S05075370086.02","0086.02",3.7194,"35",1,114882.0165,1148820165.94531,177180.874408725,127091.80539217,3960605.14954562,3.20889865546812
"5370123.01","2021S05075370123.01","0123.01",3.1855,"35",1,114882.0165,1148820165.94531,177180.874408725,313742.074102831,3357734.11292125,9.34386296090232
"5370123.02","2021S05075370123.02","0123.02",4.2635,"35",1,114882.0165,1148820165.94531,177180.874408725,102166.938278439,4494641.52234767,2.27308313177944
"5370140.07","2021S05075370140.07","0140.07",5.36,"35",1,114882.0165,1148820165.94531,177180.874408725,960679.880876462,5656282.72505918,16.9842974188743
"5370140.08","2021S05075370140.08","0140.08",4.883,"35",1,114882.0165,1148820165.94531,177180.874408725,142599.886637831,5101709.91546763,2.79513906122904
"5370301.01","2021S05075370301.01","0301.01",9.2212,"35",1,114882.0165,1148820165.94531,177180.874408725,0,10271.5283797968,0
