"CTUID","DGUID","CTNAME","LANDAREA","PRUID","OBJECTID","AREA_IN_HA","Shape__Are","Shape__Len","gs_area_m2","ct_area_m2","gs_pct","Shape Area","Type","Households","Quality Flags","Dwellings 2016","name","CMA_UID","Population","Households 2016","Dwellings","CSD_UID","Population 2016","CD_UID","Region Name","Area (sq km)","med_income"
"5370050.00","2021S05075370050.00","0050.00",0.5519,"35",1,114882.0165,1148820165.94531,177180.874408725,20247.4752737718,581235.036401733,3.4835262855313,0.5519,"CT",1900,"0",2097,"0050.00","35537",4271,1761,2171,"3525005",3697,"3525","0050.00",0.5519,48800
"5370051.00","2021S05075370051.00","0051.00",0.5473,"35",1,114882.0165,1148820165.94531,177180.874408725,28018.1768947254,576494.690689741,4.860092789615,0.5473,"CT",1891,"0",2220,"0051.00","35537",4225,1917,2135,"3525005",4334,"3525","0051.00",0.5473,50400
"5370052.00","2021S05075370052.00","0052.00",0.5255,"35",1,114882.0165,1148820165.94531,177180.874408725,30222.209107108,553552.651398763,5.45968103137795,0.5255,"CT",1744,"0",1935,"0052.00","35537",3881,1622,1944,"3525005",3549,"3525","0052.00",0.5255,65000
"5370053.00","2021S05075370053.00","0053.00",0.4969,"35",1,114882.0165,1148820165.94531,177180.874408725,64.8995156753912,523425.420966118,0.0123989995662806,0.4969,"CT",1288,"0",1423,"0053.00","35537",3070,1301,1465,"3525005",3120,"3525","0053.00",0.4969,73000
"5370054.00","2021S05075370054.00","0054.00",0.4847,"35",1,114882.0165,1148820165.94531,177180.874408725,17040.1290494817,510590.031283708,3.33734072454176,0.4847,"CT",1183,"0",1233,"0054.00","35537",2670,1153,1273,"3525005",2560,"3525","0054.00",0.4847,72500
"5370055.00","2021S05075370055.00","0055.00",0.5397,"35",1,114882.0165,1148820165.94531,177180.874408725,11527.306955735,568509.233293933,2.02763759683304,0.5397,"CT",1261,"0",1301,"0055.00","35537",2989,1258,1298,"3525005",2920,"3525","0055.00",0.5397,79500
"5370056.00","2021S05075370056.00","0056.00",1.1353,"35",1,114882.0165,1148820165.94531,177180.874408725,125769.305914143,1195869.80737304,10.5169730967972,1.1353,"CT",1407,"0",1427,"0056.00","35537",3260,1401,1446,"3525005",3231,"3525","0056.00",1.1353,77000
"5370057.00","2021S05075370057.00","0057.00",0.5967,"35",1,114882.0165,1148820165.94531,177180.874408725,20793.9432604497,628525.892296833,3.30836700847152,0.5967,"CT",1346,"0",1418,"0057.00","35537",3022,1334,1418,"3525005",2997,"3525","0057.00",0.5967,64500
"5370058.00","2021S05075370058.00","0058.00",0.6973,"35",1,114882.0165,1148820165.94531,177180.874408725,8939.15462318102,734415.663379478,1.21717919005795,0.6973,"CT",1123,"0",1181,"0058.00","35537",2545,1060,1181,"3525005",2382,"3525","0058.00",0.6973,60800
"5370059.00","2021S05075370059.00","0059.00",0.7169,"35",1,114882.0165,1148820165.94531,177180.874408725,15840.8941148988,755069.599949381,2.09793827164553,0.7169,"CT",1261,"0",1349,"0059.00","35537",3062,1246,1383,"3525005",3026,"3525","0059.00",0.7169,68000
"5370060.00","2021S05075370060.00","0060.00",0.6695,"35",1,114882.0165,1148820165.94531,177180.874408725,72082.3678383074,705172.465585135,10.2219487226426,0.6695,"CT",1056,"0",1119,"0060.00","35537",2691,1020,1132,"3525005",2629,"3525","0060.00",0.6695,70000
